PO,ROUTED,READY,CUSTOMER,DIV,WH,A. DATE,S. DATE,C. DATE,PICKUP DATE,WH. SHIP DATE,T. QTY,O. QTY,P. QTY,SH. QTY,RT,FLL,FLT,PRT,UCC,PLL,SK,NOTES,C. REACHED,CARRIER,CONFIRMATION,BOL,P. DATE,P. TIME
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
"560526704","false","false","BURLINGTON","MJ","HT","","10/4/2023","10/10/2023","","","1200","","1200","","false","false","false","false","false","false","false","","","","","","",""
